entry_time,exit_time,signal,entry_spot,exit_spot,strike,entry_premium,exit_premium,exit_reason,pnl_usd
2026-01-02 16:15,2026-01-02 23:45,bullish,90013.5,89960.5,88000,2090.9313,1960.5,EOD,-130431.3
2026-01-03 02:30,2026-01-03 23:45,bullish,90269.5,90604.5,88000,2557.3771,2604.5,EOD,47122.95
2026-01-04 04:15,2026-01-04 23:45,bullish,91340.0,91506.0,89000,2592.8206,2506.0,EOD,-86820.65
2026-01-05 02:00,2026-01-05 23:45,bullish,92831.5,93832.0,91000,2251.8828,2832.0,EOD,580117.19
2026-01-06 11:15,2026-01-06 16:30,bullish,93804.0,92525.0,92000,2038.5394,942.3362,SL,-1096203.15
2026-01-06 21:15,2026-01-06 23:45,bullish,93498.5,93717.0,91000,2500.1924,2717.0,EOD,216807.6
2026-01-07 14:00,2026-01-07 23:45,bearish,91671.0,91338.0,94000,2426.6846,2662.0,EOD,235315.45
2026-01-08 02:30,2026-01-08 23:45,bearish,90870.5,91070.5,93000,2470.115,1929.5,EOD,-540615.02
2026-01-09 07:45,2026-01-09 23:45,bearish,90721.0,90613.5,93000,2492.2453,2386.5,EOD,-105745.26
2026-01-10 14:30,2026-01-10 23:45,bearish,90525.5,90479.5,93000,2546.2915,2520.5,EOD,-25791.52
2026-01-11 19:30,2026-01-11 23:45,bearish,90753.5,90986.5,93000,2264.4199,2013.5,EOD,-250919.89
2026-01-12 08:30,2026-01-12 16:15,bearish,90528.5,92179.0,93000,2640.9763,1149.4311,SL,-1491545.22
2026-01-12 21:45,2026-01-12 23:45,bearish,91014.5,91262.5,93000,1989.3086,1737.5,EOD,-251808.62
2026-01-13 02:45,2026-01-13 14:15,bearish,91103.5,92391.0,93000,2286.971,1084.2386,SL,-1202732.44
2026-01-13 14:15,2026-01-13 23:45,bullish,92391.0,95384.5,90000,2472.3705,5384.5,EOD,2912129.5
2026-01-14 03:45,2026-01-14 23:45,bullish,95676.0,96917.0,94000,2128.0264,2917.0,EOD,788973.59
2026-01-15 09:30,2026-01-15 18:45,bullish,97038.0,95817.0,95000,2286.8168,1059.9816,SL,-1226835.26
2026-01-16 08:15,2026-01-16 15:30,bullish,95769.0,94498.0,94000,2095.1044,979.6276,SL,-1115476.85
2026-01-16 20:45,2026-01-16 23:45,bullish,95527.5,95513.0,94000,1568.1197,1513.0,EOD,-55119.7
2026-01-17 11:30,2026-01-17 23:45,bullish,95282.5,95118.0,93000,2437.8549,2118.0,EOD,-319854.92
2026-01-18 09:30,2026-01-18 23:45,bullish,95214.0,93623.0,93000,2418.928,625.0275,SL,-1793900.52
2026-01-20 02:15,2026-01-20 23:45,bearish,92461.5,88400.0,94000,2046.3936,5600.0,EOD,3553606.35
2026-01-21 07:45,2026-01-21 19:45,bearish,89188.5,90330.0,91000,2102.3087,885.8551,SL,-1216453.59
2026-01-22 13:30,2026-01-22 23:45,bearish,89588.0,89528.0,92000,2501.7725,2472.0,EOD,-29772.51
2026-01-23 06:15,2026-01-23 17:15,bearish,89442.0,90954.0,91000,1943.271,627.7682,SL,-1315502.8
2026-01-23 20:30,2026-01-23 23:45,bearish,89384.5,89568.0,91000,1647.6693,1432.0,EOD,-215669.31
2026-01-24 07:00,2026-01-24 23:45,bearish,89624.5,89189.0,92000,2579.3999,2811.0,EOD,231600.14
2026-01-25 02:15,2026-01-25 23:45,bearish,89114.5,86641.5,91000,2269.9437,4358.5,EOD,2088556.32
2026-01-26 15:45,2026-01-26 23:45,bearish,87617.5,88310.0,90000,2435.3083,1690.0,EOD,-745308.32
2026-01-27 08:45,2026-01-27 20:00,bearish,88146.0,88720.0,90000,2107.4724,1355.972,Flip,-751500.35
2026-01-27 20:00,2026-01-27 23:45,bullish,88720.0,89207.0,87000,1751.0365,2207.0,EOD,455963.53
2026-01-28 06:45,2026-01-28 23:45,bullish,89296.0,89275.0,87000,2499.7078,2275.0,EOD,-224707.82
2026-01-29 14:30,2026-01-29 23:45,bearish,87652.0,84612.5,90000,2421.6713,5387.5,EOD,2965828.74
2026-01-30 02:00,2026-01-30 14:30,bearish,81870.5,83616.5,84000,2552.4102,1002.3871,SL,-1550023.11
2026-01-31 07:30,2026-01-31 23:45,bearish,83450.5,78702.5,85000,1859.397,6297.5,EOD,4438102.97
2026-02-01 06:30,2026-02-01 23:45,bearish,78494.5,76940.0,80000,1804.8137,3060.0,EOD,1255186.3
2026-02-02 02:45,2026-02-02 12:00,bearish,76455.5,77932.0,78000,2278.1324,1073.4541,SL,-1204678.37
2026-02-03 02:45,2026-02-03 23:45,bearish,77782.0,75732.0,80000,2430.8354,4268.0,EOD,1837164.57
2026-02-04 11:00,2026-02-04 23:45,bearish,75793.0,73161.5,78000,2298.4468,4838.5,EOD,2540053.23
2026-02-05 02:00,2026-02-05 23:45,bearish,72020.5,62885.5,74000,2483.9676,11114.5,EOD,8630532.37
2026-02-07 06:45,2026-02-07 23:45,bearish,68740.0,69260.5,71000,2444.4378,1739.5,EOD,-704937.76
2026-02-08 12:00,2026-02-08 23:45,bullish,70829.0,70295.0,69000,1920.0781,1295.0,EOD,-625078.13
2026-02-09 16:30,2026-02-09 23:45,bullish,69902.5,70117.5,68000,1939.845,2117.5,EOD,177654.95
2026-02-10 16:00,2026-02-10 20:00,bullish,69648.5,68735.0,68000,1702.8121,833.3988,SL,-869413.33
