entry_time,exit_time,signal,entry_spot,exit_spot,strike,entry_premium,exit_premium,exit_reason,pnl_usd
2026-01-03 21:15,2026-01-03 23:45,bullish,90446.0,90604.5,88000,2447.4841,2604.5,EOD,157015.88
2026-01-05 02:00,2026-01-05 23:45,bullish,92831.5,93832.0,91000,2251.8828,2832.0,EOD,580117.19
2026-01-06 14:15,2026-01-06 16:15,bullish,94296.5,92814.5,92000,2394.4693,1143.7995,SL,-1250669.84
2026-01-08 06:15,2026-01-08 17:45,bearish,90240.0,91330.0,92000,2102.6431,980.9842,SL,-1121658.91
2026-01-09 08:30,2026-01-09 15:15,bearish,90294.5,91651.5,92000,2011.7189,882.7731,SL,-1128945.76
2026-01-12 08:30,2026-01-12 16:15,bearish,90528.5,92179.0,93000,2640.9763,1149.4311,SL,-1491545.22
2026-01-13 15:45,2026-01-13 23:45,bullish,93416.5,95384.5,91000,2475.6152,4384.5,EOD,1908884.8
2026-01-14 14:45,2026-01-14 23:45,bullish,96459.0,96917.0,94000,2539.2192,2917.0,EOD,377780.77
2026-01-17 15:30,2026-01-17 23:45,bullish,95551.0,95118.0,94000,1736.9762,1118.0082,EOD,-618968.01
2026-01-19 02:00,2026-01-19 17:00,bearish,92384.0,93314.0,94000,2106.744,1034.9049,SL,-1071839.1
2026-01-20 04:45,2026-01-20 23:45,bearish,92035.0,88400.0,94000,2307.4732,5600.0,EOD,3292526.85
2026-01-21 12:00,2026-01-21 14:30,bearish,88354.0,89648.5,90000,1871.2261,897.6284,SL,-973597.63
2026-01-21 17:00,2026-01-21 18:45,bearish,87280.5,88449.5,89000,1864.2503,915.1637,SL,-949086.58
2026-01-22 14:45,2026-01-22 23:45,bearish,89064.5,89528.0,91000,2055.3091,1472.0,EOD,-583309.07
2026-01-23 09:30,2026-01-23 16:30,bearish,88988.5,90242.0,91000,2225.8412,1084.396,SL,-1141445.21
2026-01-24 13:45,2026-01-24 23:45,bearish,89330.0,89189.0,91000,1854.9999,1811.0,EOD,-43999.86
2026-01-25 08:30,2026-01-25 23:45,bearish,88289.5,86641.5,90000,2000.3762,3358.5,EOD,1358123.77
2026-01-28 11:45,2026-01-28 23:45,bullish,90045.5,89275.0,88000,2204.3941,1275.0002,EOD,-929393.86
2026-01-29 14:45,2026-01-29 23:45,bearish,86988.0,84612.5,89000,2113.7351,4387.5,EOD,2273764.94
2026-01-30 02:00,2026-01-30 14:30,bearish,81870.5,83616.5,84000,2552.4102,1002.3871,SL,-1550023.11
2026-01-31 08:15,2026-01-31 23:45,bearish,83066.0,78702.5,85000,2146.859,6297.5,EOD,4150641.03
2026-02-01 15:15,2026-02-01 18:00,bearish,76969.0,78206.5,79000,2088.4642,987.5419,SL,-1100922.37
2026-02-02 03:30,2026-02-02 08:00,bearish,74610.5,76843.5,77000,2922.7045,1352.3031,SL,-1570401.33
2026-02-03 14:45,2026-02-03 23:45,bearish,77167.0,75732.0,79000,1917.6904,3268.0,EOD,1350309.55
2026-02-04 13:45,2026-02-04 23:45,bearish,74849.0,73161.5,77000,2210.6337,3838.5,EOD,1627866.32
2026-02-05 15:00,2026-02-05 23:45,bearish,67968.5,62885.5,70000,2237.3945,7114.5,EOD,4877105.54
2026-02-07 06:45,2026-02-07 23:45,bearish,68740.0,69260.5,71000,2444.4378,1739.5,EOD,-704937.76
2026-02-08 13:15,2026-02-08 23:45,bullish,71416.0,70295.0,69000,2447.3813,1295.0,EOD,-1152381.32
2026-02-11 14:00,2026-02-11 14:45,bullish,68428.5,66566.0,66000,2448.8222,847.2256,SL,-1601596.62
2026-02-12 11:15,2026-02-12 16:00,bullish,68177.5,66529.0,66000,2231.5999,789.5454,SL,-1442054.48
2026-02-13 14:45,2026-02-13 23:45,bullish,67715.5,68865.0,66000,1772.8363,2865.0,EOD,1092163.66
2026-02-14 08:00,2026-02-14 23:45,bullish,69532.0,69800.0,68000,1719.4119,1800.0,EOD,80588.08
2026-02-15 07:30,2026-02-15 12:45,bullish,70707.5,69291.0,69000,1877.5456,749.9413,SL,-1127604.28
2026-02-16 12:15,2026-02-16 15:30,bullish,69474.0,67419.5,67000,2504.9315,738.5605,SL,-1766371.0
2026-02-17 14:30,2026-02-17 19:00,bearish,67074.5,68147.5,69000,1971.3748,957.2791,SL,-1014095.66
2026-02-18 19:15,2026-02-18 23:45,bearish,66245.0,66440.0,68000,1766.1591,1560.0,EOD,-206159.15
2026-02-19 13:15,2026-02-19 20:45,bearish,66144.0,67122.0,68000,1917.94,929.0301,SL,-988909.83
2026-02-20 13:30,2026-02-20 18:45,bearish,66607.0,67908.5,69000,2418.804,1162.4854,SL,-1256318.6
2026-02-22 14:30,2026-02-22 23:45,bearish,67422.0,67621.0,69000,1658.2339,1379.0,EOD,-279233.86
2026-02-23 02:00,2026-02-23 09:30,bearish,64713.0,66255.0,67000,2485.8317,1190.4505,SL,-1295381.11
2026-02-23 16:00,2026-02-23 23:45,bearish,65212.0,64632.5,67000,1823.7863,2367.5,EOD,543713.72
2026-02-24 03:45,2026-02-24 23:45,bearish,63576.5,64037.0,66000,2509.144,1963.0,EOD,-546143.97
2026-02-25 12:45,2026-02-25 23:45,bullish,66045.0,67958.5,64000,2089.5674,3958.5,EOD,1868932.62
2026-02-28 06:15,2026-02-28 18:45,bearish,64539.0,65880.0,67000,2528.2114,1180.8878,SL,-1347323.64
2026-03-01 20:15,2026-03-01 23:45,bearish,65275.0,65747.0,67000,1730.2938,1253.0,EOD,-477293.79
2026-03-02 15:00,2026-03-02 23:45,bullish,68413.0,68809.0,66000,2474.4925,2809.0,EOD,334507.46
2026-03-03 16:15,2026-03-03 23:45,bullish,68797.0,68301.5,67000,1878.5662,1301.5,EOD,-577066.14
2026-03-04 07:45,2026-03-04 23:45,bullish,69471.5,72648.0,67000,2535.8959,5648.0,EOD,3112104.13
2026-03-07 19:15,2026-03-07 23:45,bearish,67193.5,67239.5,69000,1817.0478,1760.5,EOD,-56547.82
2026-03-08 04:45,2026-03-08 23:45,bearish,66609.0,65941.5,69000,2486.676,3058.5,EOD,571823.98
2026-03-10 08:00,2026-03-10 14:00,bullish,70880.0,69455.5,69000,2016.1466,816.846,SL,-1199300.63
2026-03-11 14:30,2026-03-11 23:45,bullish,70805.0,70156.5,69000,1866.9565,1156.5,EOD,-710456.51
2026-03-12 11:30,2026-03-12 14:30,bullish,70648.0,69555.5,69000,1769.7656,868.1903,SL,-901575.32
2026-03-13 02:00,2026-03-13 22:00,bullish,71528.5,70817.5,70000,1823.1241,847.7731,SL,-975351.07
2026-03-15 02:30,2026-03-15 23:45,bullish,71382.0,72786.5,69000,2513.7031,3786.5,EOD,1272796.91
2026-03-16 03:30,2026-03-16 23:45,bullish,73755.0,74854.0,72000,1996.1922,2854.0,EOD,857807.78
2026-03-18 12:00,2026-03-18 23:45,bearish,72725.0,71210.5,75000,2336.8674,3789.5,EOD,1452632.55
2026-03-19 07:00,2026-03-19 23:45,bearish,69947.5,69897.5,72000,2182.6912,2102.5,EOD,-80191.17
2026-03-22 08:15,2026-03-22 23:45,bearish,68590.0,67842.0,71000,2481.4565,3158.0,EOD,676543.49
2026-03-24 07:45,2026-03-24 14:00,bullish,71264.5,69837.5,69000,2356.2432,1076.7408,SL,-1279502.38
2026-03-25 11:15,2026-03-25 17:45,bullish,71840.5,70760.5,70000,1944.6388,928.8041,SL,-1015834.64
2026-03-27 08:30,2026-03-27 23:45,bearish,67786.5,66371.0,70000,2297.2772,3629.0,EOD,1331722.79
2026-03-30 19:00,2026-03-30 23:45,bearish,66405.5,66771.5,68000,1614.128,1228.5,EOD,-385627.96
2026-03-31 08:30,2026-03-31 17:00,bearish,66825.0,68439.0,69000,2258.2965,798.3228,SL,-1459973.7
2026-04-01 06:15,2026-04-01 23:45,bullish,68833.0,68092.5,67000,1985.9941,1092.5,EOD,-893494.12
2026-04-04 16:30,2026-04-04 23:45,bullish,67494.5,67276.0,65000,2501.1359,2276.0,EOD,-225135.87
2026-04-05 15:15,2026-04-05 23:45,bullish,67485.5,69001.0,65000,2496.7818,4001.0,EOD,1504218.22
2026-04-06 09:15,2026-04-06 22:45,bullish,69906.0,68784.5,68000,2017.3196,795.8813,SL,-1221438.29
2026-04-07 20:00,2026-04-07 23:45,bullish,69407.0,71897.0,67000,2407.7785,4897.0,EOD,2489221.48
2026-04-08 13:00,2026-04-08 14:00,bullish,72600.5,71479.5,71000,1716.3658,847.3517,SL,-869014.09
2026-04-09 15:30,2026-04-09 23:45,bullish,72052.0,71770.0,70000,2087.0059,1770.0,EOD,-317005.93
2026-04-10 14:15,2026-04-10 23:45,bullish,72940.5,72924.0,71000,1999.7876,1924.0,EOD,-75787.57
2026-04-11 18:30,2026-04-11 23:45,bullish,73429.5,73017.0,71000,2434.2589,2017.0,EOD,-417258.94
2026-04-13 16:30,2026-04-13 23:45,bullish,72259.0,74391.5,70000,2276.4183,4391.5,EOD,2115081.74
2026-04-14 13:30,2026-04-14 21:30,bullish,75143.0,73984.0,73000,2200.3052,1016.4295,SL,-1183875.71
2026-04-15 19:30,2026-04-15 23:45,bullish,75034.0,74784.0,73000,2042.079,1784.0,EOD,-258079.0
2026-04-17 08:30,2026-04-17 23:45,bullish,75301.5,77031.0,73000,2400.2002,4031.0,EOD,1630799.77
2026-04-19 13:15,2026-04-19 17:45,bullish,75998.5,74742.5,74000,2075.3061,936.1386,SL,-1139167.51
2026-04-19 20:30,2026-04-19 23:45,bearish,74432.0,73752.0,76000,1583.0184,2248.0,EOD,664981.63
2026-04-22 02:15,2026-04-22 23:45,bullish,77196.0,78140.0,75000,2398.3777,3140.0,EOD,741622.33
2026-04-23 15:30,2026-04-23 23:45,bullish,78439.5,78215.0,76000,2466.5109,2215.0,EOD,-251510.87
2026-04-26 05:00,2026-04-26 23:45,bullish,78089.0,78610.5,76000,2278.6808,2610.5,EOD,331819.16
2026-04-27 15:15,2026-04-27 23:45,bearish,76823.0,77331.0,79000,2222.9654,1669.0,EOD,-553965.38
2026-04-28 14:15,2026-04-28 23:45,bearish,75796.5,76298.0,78000,2256.1196,1702.0,EOD,-554119.63
2026-04-29 15:30,2026-04-29 23:45,bearish,75949.0,75749.5,78000,2100.8286,2250.5,EOD,149671.42
2026-05-01 12:15,2026-05-01 23:45,bullish,77716.0,78191.5,76000,1852.4418,2191.5,EOD,339058.16
2026-05-02 21:30,2026-05-02 23:45,bullish,78767.0,78653.0,77000,1770.4561,1653.0,EOD,-117456.08
2026-05-03 12:00,2026-05-03 23:45,bullish,78815.0,78529.0,77000,1946.1413,1529.0,EOD,-417141.3
2026-05-04 02:00,2026-05-04 10:15,bullish,79899.0,78466.0,78000,2184.322,998.0602,SL,-1186261.77
2026-05-04 14:45,2026-05-04 23:45,bullish,80171.0,79826.5,78000,2226.5373,1826.5,EOD,-400037.33
2026-05-05 02:30,2026-05-05 23:45,bullish,80770.0,80861.5,79000,2083.8911,1861.5,EOD,-222391.08
2026-05-06 10:15,2026-05-06 23:45,bullish,82148.0,81390.0,80000,2276.4489,1390.0,EOD,-886448.94
2026-05-08 11:15,2026-05-08 23:45,bullish,80252.0,80156.5,78000,2344.8734,2156.5,EOD,-188373.43
2026-05-09 16:15,2026-05-09 23:45,bullish,80614.5,80635.0,79000,1705.9056,1635.0,EOD,-70905.55
2026-05-10 15:45,2026-05-10 23:45,bullish,81381.5,82178.0,79000,2414.7764,3178.0,EOD,763223.61
2026-05-13 12:15,2026-05-13 23:45,bearish,80316.0,79288.5,82000,1849.0124,2711.5,EOD,862487.58
2026-05-15 13:30,2026-05-15 23:45,bearish,79117.0,79070.0,81000,1990.0,1930.0,EOD,-60000.02
2026-05-16 06:30,2026-05-16 23:45,bearish,78707.0,78105.5,81000,2448.5951,2894.5,EOD,445904.89
2026-05-18 15:15,2026-05-18 20:15,bearish,76067.0,77102.0,78000,1996.2661,989.0124,SL,-1007253.72
2026-05-21 10:45,2026-05-21 23:45,bearish,77169.0,77586.5,79000,1981.3713,1413.5,EOD,-567871.32
2026-05-22 14:15,2026-05-22 23:45,bearish,76825.0,75508.5,79000,2232.8511,3491.5,EOD,1258648.86
